species,date,latitude,longitude,decade,geometry,name,decade_group
Victorian Box,1956-05-11,37.8007386066666,-122.407264060286,1950s,POINT (-122.407264060286 37.8007386066666),North Beach,1950s-1960s
Victorian Box,1956-05-11,37.8008134771171,-122.405700591027,1950s,POINT (-122.405700591027 37.8008134771171),North Beach,1950s-1960s
Victorian Box,1956-05-11,37.8008215943087,-122.406602828336,1950s,POINT (-122.406602828336 37.8008215943087),North Beach,1950s-1960s
Sycamore: London Plane,1976-11-05,37.8033552184177,-122.401914578291,1970s,POINT (-122.401914578291 37.8033552184177),North Beach,1970s-1980s
Brisbane Box,1984-03-19,37.8030709297568,-122.41401019958,1980s,POINT (-122.41401019958 37.8030709297568),North Beach,1970s-1980s
Southern Magnolia,1990-03-30,37.8051675201378,-122.415278670838,1990s,POINT (-122.415278670838 37.8051675201378),North Beach,1990s-2000s
Southern Magnolia,1990-03-30,37.8051675201378,-122.415278670838,1990s,POINT (-122.415278670838 37.8051675201378),North Beach,1990s-2000s
Southern Magnolia,1990-03-30,37.8045143025613,-122.414971372949,1990s,POINT (-122.414971372949 37.8045143025613),North Beach,1990s-2000s
Southern Magnolia,1990-04-01,37.8045143025613,-122.414971372949,1990s,POINT (-122.414971372949 37.8045143025613),North Beach,1990s-2000s
Southern Magnolia,1990-04-01,37.8045143025613,-122.414971372949,1990s,POINT (-122.414971372949 37.8045143025613),North Beach,1990s-2000s
Southern Magnolia,1992-01-28,37.8045143025613,-122.414971372949,1990s,POINT (-122.414971372949 37.8045143025613),North Beach,1990s-2000s
Victorian Box,1992-04-29,37.804695401428,-122.416238328085,1990s,POINT (-122.416238328085 37.804695401428),North Beach,1990s-2000s
Brisbane Box,1992-06-23,37.8050102707409,-122.416603285475,1990s,POINT (-122.416603285475 37.8050102707409),North Beach,1990s-2000s
Brisbane Box,1992-06-23,37.8050102707409,-122.416603285475,1990s,POINT (-122.416603285475 37.8050102707409),North Beach,1990s-2000s
Sycamore: London Plane,1992-12-15,37.8063820572721,-122.415351632116,1990s,POINT (-122.415351632116 37.8063820572721),North Beach,1990s-2000s
Sycamore: London Plane,1992-12-15,37.8064867247361,-122.407230131732,1990s,POINT (-122.407230131732 37.8064867247361),North Beach,1990s-2000s
Sycamore: London Plane,1994-07-15,37.8013633914033,-122.399275432078,1990s,POINT (-122.399275432078 37.8013633914033),North Beach,1990s-2000s
Sycamore: London Plane,1994-07-15,37.8013633914033,-122.399275432078,1990s,POINT (-122.399275432078 37.8013633914033),North Beach,1990s-2000s
Sycamore: London Plane,1995-08-26,37.8013767524977,-122.40980045578,1990s,POINT (-122.40980045578 37.8013767524977),North Beach,1990s-2000s
Bronze Loquat,1995-10-07,37.7991654604723,-122.402278540244,1990s,POINT (-122.402278540244 37.7991654604723),North Beach,1990s-2000s
Sycamore: London Plane,1995-10-15,37.8060884463757,-122.404375360949,1990s,POINT (-122.404375360949 37.8060884463757),North Beach,1990s-2000s
Sycamore: London Plane,1995-10-15,37.803289003136,-122.401525746517,1990s,POINT (-122.401525746517 37.803289003136),North Beach,1990s-2000s
Sycamore: London Plane,1995-10-15,37.8060884463757,-122.404375360949,1990s,POINT (-122.404375360949 37.8060884463757),North Beach,1990s-2000s
Sycamore: London Plane,1995-10-15,37.8060884463757,-122.404375360949,1990s,POINT (-122.404375360949 37.8060884463757),North Beach,1990s-2000s
Sycamore: London Plane,1995-10-15,37.8037134372885,-122.401873481994,1990s,POINT (-122.401873481994 37.8037134372885),North Beach,1990s-2000s
Sycamore: London Plane,1995-10-15,37.8060884463757,-122.404375360949,1990s,POINT (-122.404375360949 37.8060884463757),North Beach,1990s-2000s
Sycamore: London Plane,1995-10-15,37.8060884463757,-122.404375360949,1990s,POINT (-122.404375360949 37.8060884463757),North Beach,1990s-2000s
Sycamore: London Plane,1995-10-15,37.8032277988787,-122.401477754221,1990s,POINT (-122.401477754221 37.8032277988787),North Beach,1990s-2000s
Sycamore: London Plane,1995-10-15,37.8060884463757,-122.404375360949,1990s,POINT (-122.404375360949 37.8060884463757),North Beach,1990s-2000s
Sycamore: London Plane,1995-10-15,37.8060884463757,-122.404375360949,1990s,POINT (-122.404375360949 37.8060884463757),North Beach,1990s-2000s
