tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude,decade
30460,DPW Maintained,Victorian Box,470 Union St,1.0,Sidewalk: Curb side : Cutout,Private,1956-05-11,19.0,4x4,37.8007386066666,-122.407264060286,1950s
30454,DPW Maintained,Victorian Box,381 Union St,1.0,Sidewalk: Curb side : Cutout,Private,1956-05-11,8.0,3x3,37.8008134771171,-122.405700591027,1950s
30428,DPW Maintained,Victorian Box,434 Union St,1.0,Sidewalk: Curb side : Cutout,Private,1956-05-11,13.0,7x3,37.8008215943087,-122.406602828336,1950s
53285,DPW Maintained,Victorian Box,2641 Franklin St,1.0,Sidewalk: Curb side : Cutout,Private,1969-08-25,20.0,4x5,37.798889151862,-122.425800588941,1960s
53310,DPW Maintained,Victorian Box,2427 29th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1969-08-28,12.0,3x3,37.7420384981227,-122.486441648664,1960s
53477,Permitted Site,Olive Tree,310 Orizaba Ave,1.0,Sidewalk: Curb side : Cutout,Private,1969-10-27,14.0,4x5,37.7149296078016,-122.462518397729,1960s
53524,Permitted Site,Olive Tree,226 Farallones St,1.0,Sidewalk: Curb side : Cutout,Private,1969-12-02,3.0,3x3,37.7141195040923,-122.460028964628,1960s
53619,DPW Maintained,Sycamore: London Plane,2635 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,1969-12-29,14.0,6x9,37.794133574667,-122.44003489281,1960s
53638,Permitted Site,Southern Magnolia,579 Castro St,1.0,Sidewalk: Curb side : Cutout,Private,1970-01-21,10.0,3x3,37.7596492390731,-122.434796593496,1970s
53961,DPW Maintained,New Zealand Xmas Tree,2456 Steiner St,1.0,Sidewalk: Curb side : Cutout,Private,1972-03-29,14.0,3x3,37.7921302538612,-122.436090735194,1970s
54052,Permitted Site,New Zealand Xmas Tree,284 O'Farrell St,1.0,Sidewalk: Curb side : Cutout,Private,1972-04-18,12.0,3x3,37.7863163497004,-122.409353602077,1970s
54373,DPW Maintained,Victorian Box,1681 Greenwich St,1.0,Sidewalk: Curb side : Cutout,Private,1972-06-05,12.0,3x3,37.7999587893161,-122.42747205721,1970s
